Parameter,Value
sigma_u_GDP,1.9612112336754457
sigma_v_GDI,1.8935116314211915
rho,0.31589727235398246
lambda_optimal,0.47434251773465824
weight_GDP_%,47.434251773465824
weight_GDI_%,52.56574822653417
